id,name,constituencyLabel,constituency,partyLabel,party
Q61694639,Kwabena Appiah-Pinkrah,Adansi-Akrofuom,Q4701650,NPP,Q1148441
Q17386197,Kobina Tahir Hammond,Adansi-Asokwa,Q4680635,NPP,Q1148441
Q61694739,Nana Marfo Amaniampong,Afigya Kwabre North,,NPP,Q1148441
Q61694741,William Owuraku Aidoo,Afigya Kwabre South,,NPP,Q1148441
Q43597264,David Hennric Yeboah,Afigya Sekyere East,Q4689244,NPP,Q1148441
Q83626633,Adusei Kwasi,Ahafo Ano North,Q4694906,NDC,Q200875
Q61694603,Francis Manu-Adabor,Ahafo Ano South East,Q55603355,NPP,Q1148441
Q61694623,Johnson Kwaku Adu,Ahafo Ano South West,Q55603356,NPP,Q1148441
Q59180272,Kwame Anyimadu-Antwi,Asante-Akim Central,Q55604282,NPP,Q1148441
Q83632879,Kwadwo Baah Agyemang,Asante-Akim North,Q4803553,NPP,Q1148441
Q61694742,Kwaku Asante-Boateng,Asante-Akim South,Q4803554,NPP,Q1148441
Q16733008,Alhaji Muntaka Mohammed Mabarak,Asawase,Q4803661,NDC,Q200875
Q26899146,Patricia Appiagyei,Asokwa,Q4807573,NPP,Q1148441
Q61694734,Kojo Appiah-Kubi,Atwima-Kwanwoma,Q4818854,NPP,Q1148441
Q33108613,Isaac Kwame Asiamah,Atwima-Mponua,Q4818855,NPP,Q1148441
Q30688553,Benito Owusu Bio,Atwima-Nwabiagya North,Q30611694,NPP,Q1148441
Q83627232,Anthony Osei Boakye,Atwima-Nwabiagya South,Q30611695,NPP,Q1148441
Q83629489,Henry Kwabena Kokofu,Bantama,Q4857186,NPP,Q1148441
Q28377798,Joseph Osei-Owusu,Bekwai,Q4881682,NPP,Q1148441
Q83630187,Kwadwo Kyei Frimpong,Bosome-Freho,Q4947436,NPP,Q1148441
Q30318643,Simon Osei Mensah,Bosomtwe,Q4947437,NPP,Q1148441
Q83987786,Frank Boakye Adjei,Effiduase-Asokore,Q5347452,NPP,Q1148441
Q35563142,Kwabena Owusaduomi,Ejisu,"",NPP,Q1148441
Q83627687,Mohammed Salisu Bamba,Ejura-Sekyedumase,Q5350158,NPP,Q1148441
Q83984137,Atta Boafo Daniel Kingsley,Fomena,Q5464918,NPP,Q1148441
Q27975634,Ama Pomaa Andoh,Juaben,Q28223417,NPP,Q1148441
Q61694684,Philip Basoah,Kumawu,Q6443671,NPP,Q1148441
